age,annual_income,monthly_visits,device,region,customer_segment
49.0,50809.93,9.0,mobile,South,Regular
23.0,57372.8,8.0,mobile,South,Regular
20.0,70776.22,6.0,mobile,North,Regular
41.0,64583.45,7.0,mobile,South,Regular
19.0,61388.2,3.0,mobile,South,Regular
25.0,69014.56,4.0,desktop,East,Regular
44.0,59622.16,5.0,tablet,North,Regular
68.0,55283.43,11.0,mobile,North,Regular
42.0,65300.94,7.0,mobile,North,Regular
60.0,21357.05,10.0,mobile,East,Regular
65.0,80973.14,9.0,desktop,West,Premium
60.0,30139.95,4.0,desktop,South,Budget
50.0,72670.2,4.0,mobile,North,Regular
40.0,56195.34,6.0,tablet,East,Regular
44.0,78105.84,5.0,mobile,East,Regular
31.0,56656.93,3.0,mobile,West,Regular
43.0,37074.27,5.0,desktop,North,Regular
37.0,77434.28,6.0,mobile,West,Regular
30.0,59665.59,5.0,desktop,North,Regular
69.0,58350.27,9.0,mobile,South,Regular
18.0,57608.6,4.0,mobile,South,Regular
23.0,76018.14,9.0,tablet,North,Premium
28.0,72353.63,7.0,mobile,East,Regular
68.0,60610.21,3.0,desktop,East,Regular
53.0,24994.84,4.0,mobile,South,Budget
63.0,47937.48,4.0,mobile,East,Budget
28.0,58139.35,6.0,tablet,South,Regular
55.0,91931.38,4.0,mobile,East,Regular
37.0,,7.0,mobile,South,Regular
43.0,54204.9,6.0,mobile,East,Regular
18.0,79971.2,7.0,mobile,East,Premium
50.0,53829.15,5.0,desktop,West,Regular
61.0,55501.86,7.0,mobile,East,Regular
52.0,59208.46,8.0,desktop,South,Regular
26.0,26113.25,3.0,mobile,South,Budget
45.0,75224.44,5.0,desktop,West,Premium
31.0,64593.96,8.0,mobile,North,Regular
68.0,50430.42,4.0,mobile,West,Budget
63.0,33241.8,5.0,mobile,West,Budget
27.0,60362.02,2.0,mobile,East,Regular
44.0,84093.43,9.0,desktop,North,Premium
66.0,43271.97,10.0,desktop,South,Regular
62.0,34866.92,7.0,desktop,South,Regular
54.0,64504.85,12.0,desktop,East,Premium
51.0,24175.8,4.0,desktop,East,Budget
20.0,12000.0,3.0,desktop,South,Budget
56.0,47222.61,5.0,mobile,North,Budget
42.0,42316.57,6.0,desktop,East,Regular
22.0,50583.02,3.0,desktop,West,Regular
30.0,45098.79,9.0,desktop,East,Regular
46.0,62777.23,4.0,tablet,North,Regular
55.0,51714.6,4.0,mobile,East,Regular
44.0,44158.24,4.0,desktop,West,Regular
49.0,46986.23,6.0,mobile,North,Regular
63.0,68774.04,7.0,mobile,North,Regular
53.0,75319.14,7.0,desktop,East,Premium
36.0,74235.5,8.0,desktop,North,Premium
51.0,70098.18,10.0,mobile,East,Premium
49.0,12000.0,10.0,mobile,South,Budget
23.0,36122.81,9.0,desktop,North,Regular
21.0,49872.87,7.0,tablet,South,Regular
52.0,60284.7,6.0,desktop,South,Regular
38.0,23822.84,5.0,desktop,North,Regular
49.0,84620.25,9.0,mobile,West,Premium
34.0,62247.43,6.0,mobile,West,Budget
29.0,43759.69,8.0,mobile,North,Regular
25.0,59456.75,7.0,mobile,West,Regular
37.0,49260.64,3.0,desktop,South,Regular
60.0,40997.14,7.0,mobile,East,Regular
38.0,66315.86,7.0,desktop,East,Premium
37.0,47123.06,6.0,tablet,East,Regular
47.0,27967.44,4.0,tablet,East,Budget
68.0,43502.48,4.0,mobile,South,Budget
38.0,53914.99,6.0,mobile,East,Regular
48.0,34614.93,5.0,mobile,North,Budget
40.0,81438.93,9.0,desktop,South,Premium
49.0,34432.44,3.0,tablet,North,Budget
41.0,91369.6,7.0,desktop,North,Budget
51.0,74117.83,5.0,mobile,South,Regular
46.0,37403.74,7.0,mobile,North,Regular
53.0,58842.8,4.0,mobile,South,Regular
67.0,79885.66,9.0,mobile,North,Premium
25.0,52431.38,10.0,tablet,West,Regular
47.0,32400.17,3.0,desktop,West,Budget
40.0,58502.45,7.0,mobile,South,Regular
36.0,96072.62,7.0,desktop,North,Premium
30.0,26475.89,5.0,mobile,South,Budget
20.0,67378.94,9.0,desktop,East,Premium
38.0,56490.76,5.0,mobile,East,Regular
60.0,53945.78,3.0,desktop,West,Regular
23.0,48514.64,4.0,mobile,North,Regular
39.0,49931.1,6.0,tablet,South,Regular
68.0,77082.41,3.0,mobile,South,Regular
67.0,68269.36,6.0,desktop,South,Regular
29.0,36394.31,5.0,mobile,South,Regular
18.0,87523.93,9.0,desktop,North,Premium
52.0,30411.99,6.0,mobile,North,Budget
18.0,69618.34,3.0,mobile,East,Regular
33.0,60045.55,4.0,tablet,West,Budget
43.0,80346.43,4.0,mobile,North,Regular
63.0,63504.79,5.0,desktop,North,Regular
22.0,77511.17,2.0,desktop,South,Regular
52.0,55908.77,6.0,mobile,East,Regular
45.0,75858.38,4.0,desktop,West,Regular
24.0,63297.38,3.0,mobile,North,Regular
61.0,99393.23,7.0,desktop,West,Premium
61.0,42503.8,7.0,desktop,West,Regular
43.0,80307.37,4.0,mobile,North,Regular
67.0,65719.16,8.0,mobile,East,Regular
49.0,59963.0,7.0,mobile,West,Regular
65.0,45109.16,6.0,tablet,East,Regular
67.0,65388.99,8.0,mobile,East,Regular
47.0,26972.66,8.0,mobile,North,Regular
32.0,29078.94,7.0,mobile,West,Regular
25.0,70693.63,7.0,mobile,North,Regular
47.0,25360.44,8.0,desktop,South,Regular
28.0,85202.15,5.0,mobile,North,Premium
57.0,50980.07,6.0,mobile,East,Regular
66.0,61466.91,7.0,mobile,West,Regular
30.0,57983.75,6.0,desktop,East,Regular
46.0,64889.7,5.0,desktop,East,Regular
20.0,50905.14,8.0,mobile,East,Regular
27.0,49140.98,5.0,desktop,North,Regular
37.0,53974.45,5.0,desktop,West,Regular
63.0,77484.32,6.0,desktop,West,Premium
68.0,79167.81,10.0,mobile,South,Premium
51.0,81982.35,6.0,desktop,South,Premium
48.0,63814.01,4.0,mobile,North,Regular
47.0,52498.25,8.0,mobile,West,Regular
21.0,22917.61,4.0,mobile,West,Budget
37.0,69373.16,3.0,mobile,North,Regular
69.0,73327.7,6.0,mobile,West,Regular
39.0,48453.98,6.0,mobile,North,Regular
29.0,72660.09,6.0,mobile,North,Regular
30.0,82300.21,0.0,desktop,South,Regular
55.0,58411.94,7.0,desktop,South,Regular
19.0,77660.23,10.0,mobile,South,Premium
68.0,62680.05,8.0,desktop,North,Regular
63.0,21829.7,10.0,mobile,North,Regular
47.0,47076.9,10.0,desktop,South,Regular
42.0,48328.88,4.0,mobile,South,Regular
57.0,67119.29,4.0,mobile,East,Regular
46.0,39264.55,6.0,desktop,East,Regular
42.0,47756.11,9.0,desktop,North,Regular
34.0,37286.51,3.0,tablet,West,Budget
41.0,55761.7,7.0,mobile,South,Regular
57.0,57928.98,11.0,mobile,South,Regular
20.0,76027.6,3.0,mobile,South,Regular
19.0,72476.88,4.0,mobile,South,Regular
55.0,59827.28,7.0,desktop,South,Regular
37.0,61360.85,5.0,desktop,East,Regular
59.0,58713.53,12.0,tablet,North,Premium
19.0,58790.83,5.0,mobile,South,Regular
65.0,87472.77,7.0,mobile,North,Premium
24.0,12000.0,9.0,mobile,West,Budget
39.0,53027.37,6.0,desktop,West,Regular
68.0,62795.09,10.0,mobile,South,Regular
23.0,79137.9,10.0,desktop,North,Premium
52.0,34655.14,5.0,mobile,East,Budget
55.0,63478.21,9.0,mobile,North,Regular
40.0,73779.84,10.0,mobile,South,Premium
22.0,47633.86,10.0,mobile,East,Regular
45.0,,6.0,desktop,South,Regular
40.0,49345.31,6.0,mobile,South,Regular
63.0,32525.81,6.0,tablet,North,Budget
53.0,69561.1,4.0,mobile,West,Regular
35.0,39524.94,4.0,tablet,South,Budget
21.0,92153.49,5.0,desktop,North,Premium
48.0,59372.32,5.0,desktop,North,Regular
32.0,40434.64,4.0,mobile,West,Budget
53.0,46450.59,2.0,mobile,South,Budget
62.0,34699.13,10.0,mobile,North,Regular
36.0,64333.34,4.0,mobile,South,Regular
64.0,86366.34,5.0,desktop,West,Premium
44.0,52232.53,4.0,mobile,East,Regular
45.0,75039.71,11.0,mobile,West,Premium
57.0,37695.41,5.0,mobile,South,Budget
59.0,62703.9,4.0,desktop,East,Regular
65.0,102620.51,6.0,desktop,North,Premium
69.0,28430.11,6.0,mobile,North,Budget
25.0,81188.48,5.0,desktop,West,Premium
39.0,80015.78,7.0,desktop,North,Premium
66.0,18942.11,5.0,mobile,North,Budget
33.0,27854.01,7.0,mobile,East,Regular
18.0,37018.31,12.0,tablet,North,Regular
47.0,75915.41,7.0,mobile,North,Regular
57.0,47962.14,7.0,desktop,North,Regular
56.0,53190.24,6.0,desktop,North,Regular
60.0,70685.92,7.0,mobile,West,Regular
51.0,58894.16,8.0,desktop,East,Regular
25.0,61048.96,6.0,desktop,East,Regular
62.0,50107.2,4.0,mobile,North,Budget
39.0,79013.37,3.0,mobile,South,Regular
62.0,40970.33,5.0,desktop,West,Regular
60.0,90027.28,3.0,mobile,East,Regular
68.0,49763.48,6.0,mobile,North,Regular
18.0,40565.36,6.0,desktop,North,Regular
63.0,69450.0,8.0,desktop,South,Premium
50.0,65534.24,3.0,mobile,South,Regular
43.0,16905.16,7.0,mobile,East,Budget
59.0,60932.04,11.0,mobile,South,Regular
67.0,29503.94,10.0,desktop,West,Regular
44.0,39909.7,5.0,mobile,West,Regular
22.0,72229.47,5.0,mobile,East,Regular
55.0,39241.53,9.0,desktop,South,Regular
29.0,63589.36,5.0,mobile,West,Regular
29.0,48882.9,3.0,mobile,West,Regular
28.0,95130.82,6.0,mobile,North,Premium
28.0,54542.03,8.0,desktop,North,Premium
65.0,32954.64,5.0,mobile,West,Budget
36.0,34353.17,7.0,mobile,West,Regular
23.0,38321.64,8.0,desktop,East,Regular
27.0,58972.71,4.0,mobile,North,Regular
38.0,56354.02,8.0,mobile,East,Regular
35.0,75788.46,6.0,mobile,South,Regular
34.0,59736.27,5.0,mobile,South,Regular
67.0,58955.12,9.0,mobile,East,Regular
63.0,62850.41,8.0,mobile,East,Regular
47.0,53772.54,5.0,mobile,North,Regular
69.0,62199.85,6.0,mobile,South,Regular
35.0,72007.45,3.0,mobile,North,Regular
25.0,72004.24,4.0,tablet,North,Regular
32.0,45427.14,5.0,mobile,North,Regular
22.0,20964.11,3.0,mobile,East,Budget
67.0,40149.72,8.0,desktop,North,Regular
29.0,61941.29,10.0,desktop,South,Premium
41.0,12000.0,2.0,mobile,South,Budget
28.0,46775.23,4.0,mobile,South,Regular
68.0,65261.55,8.0,tablet,North,Regular
26.0,44991.82,6.0,desktop,South,Regular
44.0,33897.74,10.0,mobile,South,Regular
67.0,91328.45,7.0,mobile,East,Premium
45.0,83939.48,5.0,mobile,North,Regular
64.0,51067.57,7.0,desktop,East,Regular
64.0,82677.85,10.0,tablet,South,Premium
57.0,82188.14,9.0,mobile,East,Premium
56.0,33611.79,3.0,desktop,East,Budget
47.0,109806.72,4.0,tablet,East,Premium
48.0,37451.65,3.0,mobile,West,Budget
61.0,50920.76,5.0,tablet,East,Regular
40.0,34263.03,6.0,desktop,South,Regular
67.0,57715.88,3.0,mobile,South,Regular
63.0,29856.39,4.0,desktop,West,Budget
37.0,56000.55,9.0,mobile,East,Regular
39.0,77782.18,9.0,mobile,East,Premium
55.0,60393.52,7.0,tablet,South,Regular
65.0,50827.19,6.0,desktop,East,Regular
23.0,87017.28,14.0,mobile,South,Premium
21.0,38168.05,2.0,desktop,East,Regular
30.0,75449.82,4.0,desktop,West,Premium
40.0,50035.06,6.0,tablet,South,Regular
26.0,60384.76,10.0,desktop,East,Premium
45.0,56687.45,2.0,mobile,North,Regular
46.0,58608.55,5.0,desktop,South,Regular
67.0,54973.55,12.0,desktop,East,Premium
56.0,40386.85,6.0,desktop,North,Regular
31.0,44645.92,5.0,mobile,North,Regular
58.0,64831.82,4.0,mobile,West,Regular
59.0,53830.58,9.0,mobile,North,Regular
53.0,32718.17,6.0,mobile,South,Budget
53.0,41857.26,5.0,mobile,North,Budget
34.0,42094.4,6.0,desktop,West,Regular
55.0,54833.0,7.0,mobile,West,Regular
25.0,59484.33,4.0,mobile,South,Regular
50.0,57720.85,8.0,mobile,South,Regular
65.0,42811.58,6.0,desktop,East,Regular
68.0,56225.02,10.0,mobile,North,Regular
33.0,28485.69,7.0,mobile,North,Regular
35.0,12000.0,3.0,desktop,West,Budget
50.0,54727.27,11.0,desktop,North,Premium
38.0,22738.28,5.0,tablet,East,Budget
56.0,36858.98,8.0,desktop,South,Regular
28.0,31658.96,6.0,mobile,South,Regular
26.0,,6.0,tablet,South,Regular
20.0,31537.02,6.0,mobile,North,Regular
42.0,61221.61,11.0,mobile,West,Premium
29.0,45905.6,7.0,mobile,South,Regular
33.0,30934.68,7.0,desktop,West,Regular
65.0,24143.06,7.0,mobile,South,Budget
60.0,64841.59,3.0,mobile,North,Regular
61.0,63307.79,3.0,mobile,South,Regular
48.0,71040.77,6.0,mobile,North,Regular
23.0,,6.0,mobile,South,Premium
56.0,60957.09,7.0,tablet,East,Regular
49.0,61124.15,2.0,desktop,South,Regular
65.0,53010.32,13.0,mobile,East,Premium
42.0,57571.91,6.0,desktop,North,Regular
27.0,48435.46,4.0,desktop,North,Regular
48.0,37535.97,4.0,desktop,West,Regular
41.0,95274.44,12.0,desktop,South,Premium
52.0,18146.12,5.0,desktop,North,Budget
37.0,60439.94,6.0,desktop,East,Regular
33.0,64197.83,8.0,mobile,South,Regular
24.0,58332.29,8.0,desktop,North,Premium
67.0,36075.54,11.0,desktop,South,Regular
57.0,51456.69,1.0,mobile,South,Budget
42.0,46041.94,3.0,mobile,West,Budget
30.0,33755.09,6.0,mobile,East,Regular
50.0,54293.56,11.0,desktop,West,Premium
39.0,47046.53,7.0,desktop,West,Budget
51.0,44132.84,10.0,desktop,East,Regular
22.0,68812.72,5.0,mobile,East,Regular
27.0,33946.5,3.0,mobile,West,Budget
56.0,63910.33,6.0,mobile,South,Regular
21.0,42875.4,0.0,tablet,North,Budget
53.0,63606.7,5.0,mobile,North,Regular
39.0,56436.36,7.0,mobile,East,Regular
18.0,59846.97,4.0,mobile,East,Regular
57.0,35435.3,5.0,desktop,South,Regular
54.0,39508.26,5.0,desktop,East,Regular
60.0,37873.43,1.0,mobile,West,Budget
64.0,58439.24,9.0,tablet,West,Regular
55.0,69876.79,7.0,mobile,East,Regular
61.0,76497.94,5.0,desktop,West,Regular
23.0,44923.63,7.0,mobile,West,Regular
65.0,56610.76,5.0,desktop,North,Regular
65.0,22594.93,8.0,mobile,North,Budget
54.0,12000.0,7.0,desktop,South,Budget
59.0,37578.67,6.0,mobile,West,Budget
56.0,41565.02,5.0,desktop,West,Regular
63.0,23839.01,3.0,mobile,East,Budget
64.0,19328.69,6.0,desktop,West,Budget
45.0,65466.09,2.0,tablet,North,Regular
60.0,38763.84,6.0,mobile,South,Budget
65.0,21236.39,6.0,desktop,East,Budget
33.0,101097.91,5.0,mobile,South,Premium
20.0,58178.95,7.0,desktop,East,Premium
26.0,48382.57,7.0,desktop,North,Regular
19.0,68227.58,4.0,mobile,West,Regular
40.0,39531.3,6.0,mobile,North,Regular
19.0,86344.26,6.0,mobile,South,Premium
31.0,23949.08,3.0,mobile,South,Budget
31.0,28564.17,5.0,desktop,East,Regular
54.0,51874.56,7.0,desktop,South,Regular
30.0,39333.57,8.0,tablet,East,Regular
67.0,82706.74,5.0,mobile,East,Regular
27.0,22590.56,5.0,mobile,East,Budget
68.0,39960.59,10.0,mobile,South,Regular
47.0,59266.08,5.0,mobile,South,Regular
30.0,65717.35,5.0,mobile,North,Regular
20.0,74466.71,4.0,mobile,South,Regular
33.0,61310.43,4.0,mobile,South,Regular
48.0,98386.83,3.0,desktop,North,Premium
23.0,44976.98,7.0,desktop,East,Regular
26.0,,5.0,mobile,East,Regular
23.0,71470.96,5.0,desktop,South,Premium
53.0,48078.59,7.0,desktop,North,Regular
22.0,48520.37,6.0,mobile,North,Regular
19.0,45091.92,5.0,desktop,West,Regular
41.0,41493.74,5.0,mobile,South,Regular
34.0,,3.0,mobile,East,Budget
47.0,43239.51,7.0,mobile,South,Regular
66.0,23404.35,2.0,mobile,East,Budget
62.0,61836.5,9.0,desktop,East,Premium
45.0,22511.37,3.0,mobile,West,Budget
51.0,95384.54,6.0,mobile,East,Premium
60.0,88098.49,12.0,desktop,West,Regular
40.0,76227.62,3.0,tablet,West,Regular
52.0,49977.4,7.0,tablet,West,Regular
29.0,42474.54,9.0,desktop,West,Regular
49.0,78559.16,9.0,mobile,West,Premium
30.0,57756.7,6.0,desktop,East,Regular
27.0,65288.53,5.0,mobile,South,Regular
57.0,39780.75,9.0,mobile,North,Regular
47.0,75362.85,4.0,mobile,North,Regular
37.0,38169.88,6.0,mobile,North,Regular
20.0,56224.68,5.0,mobile,West,Regular
30.0,19604.71,5.0,mobile,West,Budget
59.0,41019.78,4.0,desktop,East,Regular
42.0,64048.92,2.0,desktop,South,Regular
67.0,45081.49,5.0,desktop,South,Regular
64.0,45145.38,3.0,desktop,South,Regular
62.0,69755.66,5.0,mobile,South,Regular
18.0,52572.23,5.0,tablet,South,Regular
20.0,78763.51,10.0,desktop,South,Premium
48.0,12000.0,2.0,desktop,West,Budget
35.0,65328.83,9.0,mobile,West,Regular
61.0,64100.47,7.0,mobile,East,Regular
34.0,23232.78,9.0,mobile,West,Budget
25.0,28126.82,6.0,mobile,East,Budget
23.0,71477.1,5.0,mobile,South,Regular
33.0,32720.4,10.0,mobile,East,Regular
50.0,41295.63,9.0,mobile,South,Regular
24.0,65886.26,7.0,desktop,North,Premium
59.0,47352.02,6.0,desktop,North,Regular
33.0,63462.2,2.0,desktop,South,Regular
34.0,36668.66,7.0,mobile,West,Regular
52.0,59871.95,1.0,mobile,South,Budget
62.0,75510.48,5.0,mobile,North,Regular
40.0,60425.69,3.0,mobile,East,Regular
59.0,12000.0,3.0,desktop,South,Budget
33.0,66917.54,4.0,desktop,West,Regular
24.0,55101.25,5.0,mobile,West,Regular
61.0,35899.7,6.0,desktop,East,Regular
57.0,81683.27,7.0,mobile,North,Regular
57.0,19210.98,8.0,desktop,West,Regular
63.0,91263.58,11.0,desktop,West,Premium
43.0,41332.3,1.0,tablet,North,Budget
28.0,85280.97,9.0,mobile,East,Premium
48.0,53044.4,5.0,desktop,South,Regular
47.0,27433.66,1.0,mobile,East,Budget
38.0,55819.51,5.0,mobile,North,Regular
51.0,60533.14,5.0,desktop,West,Regular
31.0,64713.14,7.0,desktop,South,Premium
49.0,75051.82,7.0,mobile,East,Regular
59.0,36054.18,11.0,mobile,North,Regular
23.0,63724.34,7.0,desktop,West,Premium
41.0,68591.27,2.0,mobile,West,Regular
52.0,48505.57,8.0,mobile,West,Regular
20.0,35268.44,7.0,mobile,South,Regular
50.0,34871.89,7.0,desktop,South,Regular
65.0,68839.7,5.0,desktop,West,Regular
60.0,69824.63,8.0,mobile,West,Regular
53.0,37399.22,5.0,mobile,West,Budget
59.0,27245.81,7.0,tablet,East,Regular
36.0,78576.24,7.0,desktop,South,Premium
35.0,22970.52,6.0,tablet,East,Budget
22.0,57076.5,3.0,mobile,South,Regular
55.0,37858.93,1.0,desktop,West,Budget
34.0,18945.05,9.0,mobile,East,Regular
63.0,56366.47,6.0,mobile,East,Regular
42.0,50105.25,6.0,mobile,North,Regular
64.0,82549.88,6.0,desktop,North,Premium
25.0,99120.88,3.0,desktop,North,Premium
26.0,50143.4,3.0,tablet,East,Regular
36.0,74303.16,6.0,desktop,North,Premium
19.0,74690.49,6.0,mobile,North,Regular
43.0,43468.0,5.0,mobile,East,Regular
51.0,36629.09,6.0,desktop,North,Regular
52.0,85943.45,3.0,mobile,South,Regular
29.0,46612.6,4.0,tablet,South,Regular
26.0,53371.27,6.0,mobile,West,Regular
47.0,48087.68,7.0,desktop,East,Regular
50.0,51229.77,9.0,mobile,North,Regular
67.0,41857.84,7.0,desktop,South,Regular
64.0,68781.66,4.0,tablet,North,Regular
37.0,78878.48,7.0,mobile,North,Regular
26.0,46451.85,5.0,mobile,West,Regular
31.0,26408.37,9.0,tablet,South,Regular
63.0,54886.95,8.0,mobile,West,Regular
41.0,24272.59,8.0,mobile,North,Regular
69.0,41149.87,7.0,desktop,East,Regular
52.0,78373.49,3.0,desktop,North,Regular
48.0,100076.99,8.0,mobile,East,Premium
23.0,61363.58,4.0,mobile,South,Regular
48.0,32677.29,7.0,mobile,West,Regular
37.0,69404.29,4.0,mobile,East,Regular
61.0,12000.0,7.0,mobile,North,Budget
24.0,40052.78,14.0,desktop,East,Premium
27.0,84197.81,9.0,desktop,North,Regular
52.0,68708.66,7.0,desktop,West,Premium
53.0,26405.11,8.0,mobile,North,Premium
61.0,20774.69,10.0,desktop,East,Regular
45.0,70898.94,3.0,desktop,East,Regular
37.0,52931.48,4.0,mobile,East,Regular
33.0,42065.56,3.0,mobile,East,Budget
37.0,62086.01,6.0,desktop,South,Regular
52.0,42451.59,6.0,desktop,West,Budget
46.0,15633.09,2.0,desktop,West,Budget
33.0,69970.14,9.0,desktop,South,Premium
29.0,40981.91,8.0,mobile,East,Regular
54.0,33915.06,6.0,mobile,East,Budget
30.0,27340.07,7.0,tablet,West,Regular
28.0,58853.44,6.0,mobile,South,Regular
35.0,37861.24,3.0,desktop,West,Regular
62.0,66301.93,7.0,tablet,North,Regular
41.0,48558.8,9.0,mobile,South,Regular
48.0,75386.68,10.0,mobile,South,Premium
22.0,46190.68,8.0,desktop,South,Regular
35.0,40869.48,9.0,mobile,East,Regular
57.0,14687.26,2.0,mobile,West,Budget
58.0,32017.49,4.0,tablet,West,Budget
48.0,68214.82,2.0,mobile,South,Regular
63.0,114684.44,6.0,desktop,West,Premium
33.0,28975.06,10.0,mobile,South,Regular
26.0,33235.59,7.0,mobile,West,Regular
22.0,60609.58,7.0,tablet,South,Regular
28.0,63384.81,9.0,tablet,West,Regular
57.0,40414.84,3.0,mobile,West,Budget
65.0,55455.36,2.0,mobile,West,Budget
24.0,21899.05,2.0,desktop,North,Budget
44.0,47963.91,9.0,mobile,North,Regular
24.0,71816.37,7.0,mobile,East,Regular
61.0,86412.74,6.0,mobile,South,Regular
24.0,50560.41,13.0,tablet,South,Premium
51.0,48737.67,4.0,desktop,North,Regular
22.0,62901.64,4.0,mobile,South,Regular
56.0,,4.0,mobile,East,Regular
65.0,63595.38,8.0,mobile,South,Regular
56.0,38962.42,10.0,desktop,South,Regular
32.0,60998.83,6.0,desktop,South,Regular
61.0,73162.85,8.0,mobile,East,Regular
33.0,39723.41,3.0,desktop,West,Regular
57.0,27324.41,3.0,mobile,North,Budget
61.0,64042.89,7.0,desktop,East,Regular
43.0,61199.73,11.0,desktop,South,Premium
50.0,73148.08,10.0,mobile,North,Premium
62.0,55684.03,6.0,tablet,North,Regular
27.0,41100.9,9.0,desktop,South,Regular
19.0,45230.84,4.0,mobile,South,Regular
40.0,33460.87,5.0,mobile,East,Budget
27.0,35097.59,8.0,tablet,South,Regular
63.0,42772.8,8.0,mobile,West,Regular
63.0,44325.33,4.0,desktop,East,Regular
37.0,76117.66,7.0,mobile,East,Regular
34.0,29547.26,5.0,tablet,West,Budget
54.0,53008.32,7.0,tablet,North,Regular
41.0,42244.59,3.0,desktop,West,Regular
23.0,83574.75,7.0,mobile,East,Premium
52.0,59193.15,9.0,desktop,West,Premium
55.0,46556.19,5.0,mobile,South,Regular
21.0,70197.81,10.0,tablet,North,Premium
58.0,55323.34,11.0,desktop,South,Premium
45.0,,2.0,mobile,East,Budget
60.0,84543.18,8.0,mobile,South,Premium
62.0,68153.38,6.0,mobile,South,Regular
53.0,88420.98,5.0,mobile,North,Regular
35.0,77038.23,3.0,mobile,East,Regular
37.0,69453.14,6.0,desktop,East,Premium
55.0,56669.22,6.0,mobile,North,Regular
21.0,32476.28,5.0,mobile,West,Regular
30.0,68161.59,3.0,mobile,East,Regular
44.0,55503.11,7.0,mobile,East,Regular
67.0,67502.67,6.0,tablet,North,Regular
57.0,53913.11,8.0,desktop,North,Regular
60.0,40366.28,7.0,desktop,West,Regular
27.0,34081.64,5.0,desktop,South,Regular
32.0,68002.3,5.0,mobile,South,Budget
31.0,79789.47,8.0,mobile,North,Premium
56.0,48381.76,5.0,mobile,South,Regular
45.0,63145.87,2.0,desktop,East,Regular
28.0,81622.9,8.0,desktop,West,Premium
56.0,37529.94,3.0,mobile,West,Budget
51.0,47360.76,4.0,mobile,East,Regular
64.0,31879.23,6.0,desktop,West,Regular
47.0,77570.25,8.0,mobile,North,Premium
24.0,59353.6,5.0,desktop,South,Regular
64.0,44968.92,7.0,mobile,East,Regular
27.0,21243.61,5.0,mobile,East,Budget
20.0,50582.14,4.0,mobile,North,Regular
59.0,73987.7,12.0,desktop,North,Premium
41.0,48292.01,5.0,tablet,East,Regular
51.0,45740.85,7.0,mobile,South,Regular
24.0,66910.99,2.0,desktop,South,Regular
55.0,29686.76,7.0,desktop,West,Regular
39.0,55224.67,4.0,mobile,North,Budget
69.0,66076.28,2.0,tablet,North,Regular
51.0,38712.83,7.0,tablet,West,Regular
66.0,37728.8,9.0,mobile,North,Regular
59.0,59128.84,4.0,mobile,East,Regular
61.0,52234.95,4.0,mobile,North,Regular
22.0,49528.55,5.0,desktop,West,Regular
58.0,58333.62,8.0,desktop,South,Regular
49.0,58640.28,4.0,mobile,East,Regular
38.0,35843.8,7.0,tablet,South,Regular
34.0,40992.12,4.0,desktop,West,Premium
51.0,63147.87,7.0,mobile,East,Regular
28.0,76507.71,3.0,mobile,North,Regular
27.0,81131.1,6.0,mobile,South,Premium
63.0,37437.31,6.0,desktop,North,Regular
57.0,75979.16,5.0,mobile,East,Regular
48.0,69318.72,8.0,desktop,West,Premium
57.0,53668.46,3.0,mobile,East,Budget
