shape,texture,weight,size,label
0.952,-0.493,0.286,-0.076,Orange
1.687,-0.615,-0.666,-1.158,Grape
-1.18,0.763,-1.721,0.75,Banana
0.775,-1.281,-0.713,-0.272,Orange
1.617,-0.267,0.419,0.876,Watermelon
0.638,-0.254,-0.9,-1.223,Grape
1.025,-1.167,0.265,-0.009,Orange
-0.766,0.067,-1.023,1.029,Banana
-0.536,0.354,-1.11,-0.121,Banana
1.599,1.085,-0.569,-0.288,Apple
0.087,-0.98,-0.987,-0.704,Grape
-0.079,-1.133,-0.247,-1.008,Lemon
1.08,-0.977,0.3,-0.281,Orange
0.94,-0.701,0.536,0.923,Watermelon
0.84,-0.649,-0.703,-0.806,Grape
0.738,1.048,0.222,-0.591,Apple
1.051,-0.668,-1.022,-1.571,Grape
1.494,-1.271,1.359,0.783,Watermelon
-1.219,1.425,-0.652,0.373,Banana
1.266,-0.701,-1.003,-1.232,Grape
1.316,-0.843,-0.48,-1.111,Grape
1.007,-0.734,-0.292,-0.304,Orange
0.989,-0.287,-1.232,-1.044,Grape
0.604,-0.697,-0.635,0.133,Lemon
0.945,-1.083,-0.36,-0.661,Orange
0.237,-1.186,-0.202,-0.512,Lemon
-1.17,1.429,-0.457,0.739,Banana
-1.299,0.827,-0.365,0.384,Banana
0.906,-0.349,-0.647,-1.2,Grape
1.077,1.324,-0.706,-0.296,Apple
0.61,-1.344,0.803,1.167,Watermelon
0.887,-0.827,-0.982,-1.401,Grape
-0.85,1.396,-1.028,0.229,Banana
1.131,-1.31,-0.812,0.086,Grape
0.957,-1.042,1.26,1.576,Watermelon
1.341,-1.354,-0.803,-0.1,Grape
1.218,-1.004,-0.901,-1.448,Grape
1.431,-0.935,-0.974,-1.3,Grape
0.809,1.52,-0.264,-0.496,Apple
0.599,-1.655,-0.738,-0.161,Orange
1.343,-0.796,-0.45,-1.251,Grape
-1.083,0.622,-0.653,1.034,Banana
0.383,-0.721,-0.557,-1.506,Grape
1.198,1.428,-0.273,-0.107,Apple
1.616,-0.318,-0.322,-0.386,Orange
0.678,1.342,-0.78,-0.388,Apple
1.036,0.824,-0.202,0.598,Apple
0.957,-1.152,1.355,1.084,Watermelon
1.504,-0.942,0.913,0.376,Watermelon
-1.567,0.358,-0.867,-0.177,Banana
1.439,-0.989,0.915,0.705,Watermelon
1.218,-1.282,-0.645,0.216,Orange
1.124,-0.682,-0.775,-0.997,Grape
1.134,0.714,0.425,-0.503,Apple
1.545,-1.066,-0.018,0.057,Orange
1.001,-1.294,-0.224,0.146,Lemon
0.909,1.012,-0.483,-0.421,Apple
1.599,-1.351,0.67,1.564,Watermelon
1.219,0.142,-1.158,-0.956,Grape
0.769,1.05,-0.921,-0.06,Apple
1.113,0.98,-0.437,-0.613,Apple
1.255,0.59,-0.121,0.426,Apple
1.52,0.473,-0.488,-0.152,Apple
0.975,-1.49,1.135,0.996,Watermelon
1.67,0.911,0.109,-0.743,Apple
0.64,-0.347,-0.621,-1.335,Grape
-0.992,0.516,-1.063,0.593,Banana
0.848,0.913,-0.695,-0.527,Apple
1.615,-0.974,0.649,0.89,Watermelon
0.441,-1.355,0.176,-0.25,Orange
1.662,-1.033,-0.313,0.024,Orange
-0.335,-0.928,-0.617,0.02,Lemon
-0.662,0.603,-0.565,0.208,Banana
-1.317,1.069,-1.071,0.838,Banana
1.119,-0.928,0.015,0.183,Orange
0.874,-0.503,-0.387,-0.441,Lemon
1.034,-1.032,-0.588,0.103,Lemon
1.568,-1.003,0.841,1.512,Watermelon
-0.72,1.11,-1.113,0.416,Banana
0.992,-0.833,-0.955,-0.907,Grape
0.869,-0.684,1.451,1.339,Watermelon
0.503,-0.735,-0.573,-0.933,Lemon
-0.765,1.051,-0.092,0.81,Banana
0.849,-0.913,-0.543,-0.851,Lemon
-1.609,0.695,-1.017,-0.437,Banana
0.809,-1.087,-0.375,-0.432,Orange
0.88,1.603,-0.068,-0.496,Apple
0.976,-1.01,0.731,0.731,Watermelon
1.354,0.853,-0.683,-0.315,Apple
1.041,0.31,-0.314,0.004,Apple
1.158,0.18,-0.562,-0.493,Grape
1.58,-0.735,-0.543,-0.159,Lemon
0.804,1.038,-0.527,-0.161,Apple
0.772,-1.24,-0.155,-0.248,Orange
0.325,-1.509,-0.702,-0.509,Orange
1.145,-0.923,0.073,0.063,Orange
1.375,-0.387,-0.927,-0.615,Grape
-0.678,1.132,-0.555,-0.521,Banana
-1.102,0.893,-0.597,0.85,Banana
0.492,-0.506,-0.71,-0.599,Orange
0.918,-1.111,0.455,1.227,Watermelon
1.238,-0.631,0.848,0.986,Watermelon
0.989,-0.409,0.008,0.665,Watermelon
1.002,-0.98,-1.09,-1.044,Grape
0.77,-0.577,-0.78,-1.083,Grape
0.841,-0.658,-1.003,-1.609,Grape
1.162,-1.158,0.142,0.007,Orange
1.41,-0.954,-1.13,-1.435,Grape
0.753,-0.562,1.521,0.598,Watermelon
0.44,-1.027,-0.395,-1.116,Lemon
0.439,1.171,-0.982,-0.456,Apple
0.657,-0.855,-0.65,-0.628,Lemon
1.296,-0.9,0.774,1.013,Watermelon
1.134,-0.399,-0.025,0.225,Orange
0.786,-0.783,-1.082,-1.05,Grape
0.647,-0.557,0.009,-0.307,Orange
1.225,-0.922,-0.048,-0.671,Orange
0.949,-1.02,1.218,0.78,Watermelon
0.125,-1.379,-0.321,-0.178,Orange
-0.411,1.204,-0.971,0.289,Banana
-0.614,0.793,-1.049,-0.081,Banana
1.497,-0.463,-1.248,-1.04,Grape
1.178,0.912,-0.487,-0.529,Apple
1.119,0.875,-0.459,-0.768,Apple
1.027,-1.063,-0.413,-0.13,Orange
0.862,-0.754,-0.407,-0.584,Lemon
0.802,-1.365,0.792,1.007,Watermelon
0.725,-0.966,-0.638,-0.781,Orange
1.287,-1.166,0.707,0.617,Watermelon
1.148,-0.519,-0.441,-0.275,Orange
0.975,-1.634,0.088,0.355,Lemon
0.053,-1.034,-0.552,-0.293,Orange
0.454,-0.716,-0.639,-0.819,Lemon
0.94,-0.82,-0.714,-0.776,Orange
1.697,-0.825,-1.048,-1.139,Grape
1.192,-0.38,-0.097,-0.731,Orange
-1.484,0.86,-1.094,-0.303,Banana
1.287,-0.98,-0.477,-0.363,Grape
0.513,-0.846,-1.031,-0.282,Lemon
-1.174,0.619,-1.101,0.137,Banana
0.886,-0.268,-1.275,-0.393,Grape
-1.464,1.565,-1.356,0.3,Banana
0.828,-0.72,-0.72,-0.475,Grape
1.417,-0.742,-0.936,-1.274,Grape
0.653,-1.401,-0.453,-0.113,Orange
0.331,-0.616,-0.469,-0.607,Grape
-1.205,0.511,-0.839,-0.511,Banana
1.389,-1.075,1.641,0.396,Watermelon
1.321,-1.035,0.884,0.521,Watermelon
1.209,-0.763,0.325,0.153,Orange
0.392,-1.351,-1.079,0.016,Lemon
0.728,-0.482,1.184,1.115,Watermelon
0.893,-0.769,-0.305,-0.329,Orange
1.244,-0.65,-1.279,-0.79,Grape
-1.022,1.171,-1.159,-0.123,Banana
1.607,-0.059,-0.691,-1.136,Grape
-1.105,1.484,-1.124,0.079,Banana
1.655,-0.617,-0.381,-1.489,Grape
1.181,1.725,-0.29,-0.392,Apple
0.591,1.379,-0.57,-0.333,Apple
-1.432,1.545,-0.596,0.289,Banana
0.596,-0.462,-0.428,-0.587,Orange
-0.017,-1.226,-1.109,-0.718,Lemon
1.261,-1.131,1.124,0.747,Watermelon
1.023,0.072,-1.122,-0.865,Grape
0.452,-0.468,-0.467,0.168,Orange
0.957,-0.386,-0.765,-1.158,Grape
1.382,0.734,-0.028,-0.437,Apple
1.122,-1.162,-0.283,-0.576,Orange
-0.913,1.015,-1.189,0.281,Banana
1.047,0.784,-0.345,-0.652,Apple
1.821,-0.629,1.096,1.41,Watermelon
0.307,0.105,-0.44,-0.782,Apple
0.917,-0.928,1.322,0.602,Watermelon
1.14,1.005,-0.178,-0.482,Apple
1.484,0.964,0.321,-0.577,Apple
1.26,-1.021,0.885,1.221,Watermelon
0.895,-1.532,-2.0,-0.555,Grape
1.431,-0.339,-0.306,-0.652,Orange
0.853,-0.596,-1.352,-0.423,Grape
1.784,-0.833,0.996,0.547,Watermelon
-0.459,1.027,-1.101,0.468,Banana
0.795,-0.949,-0.805,0.18,Orange
-1.037,1.406,-1.07,0.252,Banana
-1.424,1.266,-1.307,0.13,Banana
1.0,1.042,-0.897,-0.381,Apple
1.278,-1.132,0.921,1.057,Watermelon
0.956,-0.961,-1.013,-0.652,Grape
0.632,-1.131,0.516,1.329,Watermelon
-1.032,0.702,-0.968,-0.121,Banana
0.638,0.489,-0.673,0.175,Apple
0.743,-0.437,-1.293,-0.734,Grape
-1.359,1.014,-0.982,1.115,Banana
-0.779,0.792,-0.76,1.048,Banana
0.03,-1.295,-0.683,-0.646,Lemon
0.484,-1.456,-0.109,-0.998,Lemon
0.93,1.366,-0.311,-0.643,Apple
0.528,-1.08,-0.565,-0.128,Orange
0.509,-0.715,-0.26,-0.134,Orange
1.504,0.847,-0.554,-0.492,Apple
0.933,0.968,-0.591,-1.008,Apple
-1.196,1.126,-0.952,0.72,Banana
1.684,-0.734,1.484,1.268,Watermelon
1.598,-0.352,1.333,1.247,Watermelon
0.528,-1.014,-0.718,-0.283,Lemon
0.748,-1.067,-1.124,0.403,Orange
0.923,-0.841,0.21,-0.095,Orange
1.506,-1.435,0.539,0.18,Orange
1.073,-0.101,-1.409,-1.101,Grape
1.505,-1.653,1.196,1.186,Watermelon
1.689,-1.554,1.563,0.804,Watermelon
-1.156,0.572,-1.381,0.441,Banana
0.611,-0.741,-0.532,-0.625,Orange
0.815,-0.482,-1.097,-0.988,Grape
1.244,-0.621,-0.409,-0.565,Orange
1.027,-0.835,-0.811,-0.512,Orange
0.348,-1.073,-0.866,-0.253,Lemon
0.438,-1.553,0.883,0.939,Watermelon
0.491,0.788,-0.44,-0.438,Apple
1.053,0.768,0.217,-0.129,Apple
0.718,-0.967,-0.257,0.225,Orange
0.79,-0.331,-0.985,-0.478,Grape
-0.548,1.069,-1.092,0.477,Banana
0.537,-0.412,-0.573,-0.642,Lemon
-1.161,0.575,-0.805,0.013,Banana
1.384,0.547,-0.255,0.103,Apple
0.247,1.706,-0.449,-0.251,Apple
0.8,-0.746,-0.504,-0.151,Lemon
1.182,-0.384,-0.117,0.488,Orange
-0.685,0.368,-0.086,0.099,Banana
1.523,-0.991,1.371,0.759,Watermelon
1.219,-1.089,0.253,-0.046,Orange
1.328,-1.357,-1.03,-0.856,Grape
1.078,-0.664,0.872,1.017,Watermelon
1.013,-1.798,-0.394,-0.617,Lemon
0.681,1.118,0.13,0.064,Apple
0.953,-0.693,1.304,0.969,Watermelon
-1.243,0.778,-0.707,0.285,Banana
0.634,0.41,-0.009,-0.491,Apple
-0.884,1.434,-1.458,0.284,Banana
0.94,-0.867,1.434,0.535,Watermelon
1.199,1.361,-0.365,-0.348,Apple
1.146,-0.479,-0.796,-0.804,Grape
0.656,-0.653,1.408,1.065,Watermelon
-1.523,0.96,-0.932,-0.101,Banana
-1.126,0.507,-0.787,0.358,Banana
0.424,1.123,-0.32,-0.119,Apple
0.863,-0.881,-1.27,-1.188,Grape
1.007,-0.548,-1.067,-1.148,Grape
0.477,-0.122,-0.87,-0.695,Lemon
2.0,-0.453,-1.483,-0.705,Grape
-1.319,1.318,-1.074,0.146,Banana
1.563,-0.802,1.341,1.152,Watermelon
0.844,1.214,0.123,-0.253,Apple
1.231,-0.702,-0.526,-0.412,Lemon
0.648,-1.438,-0.632,-0.423,Lemon
-1.146,1.118,-0.993,0.571,Banana
-0.768,1.059,-1.479,0.927,Banana
0.95,-1.028,0.88,0.829,Watermelon
1.54,-0.515,1.156,0.962,Watermelon
1.217,1.026,-0.367,-0.182,Apple
0.846,1.088,-0.229,-0.089,Apple
0.783,-0.751,-0.617,-0.4,Orange
-1.185,0.625,-0.645,-0.039,Banana
0.755,-0.161,-1.2,-1.066,Grape
0.646,-0.708,-0.004,0.059,Orange
1.188,-0.574,-1.184,-1.285,Grape
1.051,-0.732,-0.843,-0.486,Lemon
-1.105,0.605,-0.938,0.155,Banana
-1.333,0.482,-1.547,0.17,Banana
0.57,-1.306,-0.372,-0.523,Lemon
1.202,0.936,-0.575,-0.26,Apple
-1.442,1.189,-1.328,0.621,Banana
0.882,1.372,-0.693,-0.537,Apple
1.133,1.41,0.283,-0.286,Apple
1.243,-1.101,-0.215,-0.83,Lemon
-0.853,0.18,-1.393,0.463,Banana
0.141,-0.851,-0.283,-0.675,Lemon
0.261,-1.166,-0.938,-0.535,Lemon
-0.964,0.893,-0.414,0.048,Banana
1.487,-1.364,1.025,1.414,Watermelon
1.396,0.853,-0.106,-0.153,Apple
0.811,-0.784,1.652,1.165,Watermelon
-0.802,1.235,-1.511,0.461,Banana
0.644,-1.206,0.457,-0.289,Orange
0.341,-0.597,-0.932,-0.657,Lemon
1.037,-0.985,-1.147,-0.31,Lemon
0.861,-0.461,0.788,1.368,Watermelon
1.221,-1.298,-0.668,-0.364,Lemon
0.7,-0.905,0.921,0.914,Watermelon
1.017,-0.575,-0.943,-1.21,Grape
0.406,-1.042,-0.616,-0.654,Lemon
0.713,-1.635,-0.856,-0.598,Lemon
-1.3,1.57,-0.993,0.362,Banana
0.431,-1.006,-1.025,-0.559,Lemon
0.672,-1.097,0.104,0.605,Watermelon
1.512,1.291,0.162,0.186,Apple
1.236,-1.159,-0.663,0.201,Orange
-0.977,1.873,-1.128,0.991,Banana
0.945,-0.532,1.594,0.642,Watermelon
0.83,-0.962,-1.43,-0.767,Grape
0.931,-0.982,-0.105,-0.85,Orange
1.45,0.878,-0.114,-0.083,Apple
1.48,-1.037,-1.043,-0.18,Orange
1.07,-1.362,-0.248,-0.326,Orange
0.13,-0.765,-0.797,-0.642,Lemon
0.838,-0.568,0.986,1.028,Watermelon
0.846,-0.438,-0.528,-0.773,Grape
1.24,-0.388,-1.483,-1.307,Grape
0.928,-1.254,-0.673,-0.855,Orange
-1.471,0.91,-1.024,0.022,Banana
1.028,-1.152,1.382,0.943,Watermelon
0.844,-0.929,-1.091,-0.532,Lemon
0.168,-1.038,-0.861,-0.366,Lemon
-1.47,1.005,-0.8,0.618,Banana
0.733,-0.994,1.064,1.541,Watermelon
0.482,-1.319,1.982,0.904,Watermelon
0.338,-1.204,0.031,1.084,Watermelon
1.283,-0.919,-1.165,-0.677,Grape
-0.013,-1.463,-0.68,-0.763,Lemon
0.897,-1.442,1.075,0.948,Watermelon
1.192,-0.53,-0.928,-1.506,Grape
-0.828,0.884,-1.058,0.667,Banana
0.748,-0.527,0.206,0.063,Orange
0.657,0.235,0.078,-0.261,Apple
0.739,-0.189,-1.302,-1.148,Grape
0.784,-1.39,-0.638,-0.119,Lemon
1.074,-0.563,1.397,1.003,Watermelon
-1.818,0.613,-0.733,-0.243,Banana
-1.114,1.118,-0.486,0.099,Banana
-1.225,0.982,-0.877,0.246,Banana
0.967,-1.28,-0.558,-0.344,Lemon
0.86,-0.306,-0.948,-0.724,Grape
-0.932,1.132,-1.221,0.079,Banana
1.029,-0.778,-0.958,-0.437,Lemon
0.169,-1.201,0.036,-0.244,Orange
1.041,-0.056,-0.437,-0.182,Apple
1.163,-0.663,-0.374,-0.258,Orange
0.534,-1.072,0.558,0.353,Watermelon
0.22,-0.472,-0.695,-0.423,Lemon
0.82,-1.627,1.328,0.24,Watermelon
-1.194,0.981,-0.919,0.046,Banana
-1.643,0.72,-1.262,0.029,Banana
-0.66,0.575,-0.895,0.355,Banana
1.336,-1.047,1.277,0.94,Watermelon
1.152,-1.526,0.077,1.132,Watermelon
1.151,-0.434,-1.184,-0.479,Grape
0.439,-0.853,-0.392,0.102,Lemon
0.889,-1.229,0.476,1.543,Watermelon
-0.853,1.159,0.091,0.414,Banana
0.544,0.931,-0.641,-0.439,Apple
0.459,-1.205,-1.088,0.057,Lemon
1.105,-0.679,-0.735,-0.835,Grape
1.096,-0.36,-0.953,-0.765,Grape
1.264,1.057,-0.377,0.236,Apple
0.833,-0.863,-0.155,-0.413,Orange
-1.283,0.876,-1.172,-0.21,Banana
0.372,-0.907,-0.157,-0.306,Lemon
0.09,-0.376,-1.195,-0.841,Grape
0.995,-1.067,0.964,0.992,Watermelon
1.471,-0.607,-0.62,-0.671,Grape
1.233,-1.625,1.391,0.84,Watermelon
1.251,-0.94,-1.415,-0.308,Grape
0.665,-0.199,-0.959,-1.147,Grape
0.984,-1.455,0.995,0.621,Watermelon
0.862,-0.676,-0.211,-0.719,Orange
1.298,-1.002,0.81,1.261,Watermelon
0.941,0.592,0.347,-0.306,Apple
0.572,-1.142,-0.187,-0.684,Lemon
0.459,-1.238,1.464,1.291,Watermelon
0.911,-0.519,-0.038,-0.293,Orange
0.542,-0.885,-0.891,-0.498,Lemon
-0.892,0.41,-1.066,0.194,Banana
1.36,-1.646,0.866,0.831,Watermelon
1.336,-1.015,0.329,0.032,Orange
0.856,1.084,-0.424,0.001,Apple
0.534,0.712,-0.141,0.129,Apple
-1.771,1.481,-1.049,-0.359,Banana
-0.451,-1.535,-0.607,-0.523,Lemon
1.222,0.808,-0.688,-0.445,Apple
-0.988,1.081,-1.276,0.616,Banana
0.383,-1.304,-0.79,-0.124,Lemon
0.554,-1.243,-0.276,0.25,Lemon
1.073,-0.568,0.063,-0.412,Orange
1.009,-1.449,0.928,0.781,Watermelon
0.859,0.738,-0.4,-0.114,Apple
0.958,0.347,-0.561,-0.832,Apple
1.085,-0.824,1.09,0.724,Watermelon
1.086,0.835,-0.698,-0.04,Apple
0.886,-0.668,-0.813,-0.087,Lemon
0.827,-0.771,0.821,0.922,Watermelon
0.153,-0.706,-0.968,-1.144,Grape
1.615,-1.407,0.803,0.683,Watermelon
0.803,-0.239,-0.483,-1.245,Grape
0.747,-1.405,0.157,0.192,Orange
0.963,-1.489,0.543,1.06,Watermelon
0.792,-1.723,-0.712,0.066,Lemon
0.924,-0.479,1.227,0.621,Watermelon
0.898,0.955,-0.633,-0.639,Apple
-0.473,0.658,-0.623,0.147,Banana
0.591,-0.803,-0.809,-0.301,Lemon
0.284,-0.446,-1.864,-1.079,Grape
1.299,-0.382,-1.454,-1.409,Grape
0.759,-0.935,-1.011,-0.205,Orange
1.109,-1.099,-0.116,-0.122,Orange
0.81,0.322,-0.253,-0.634,Apple
0.798,-0.432,-0.504,-1.013,Grape
0.794,-1.506,-0.514,-0.521,Lemon
1.43,-1.189,0.915,1.371,Watermelon
0.968,0.612,0.593,-0.678,Apple
0.977,-0.879,1.094,0.934,Watermelon
-1.065,0.918,-1.391,1.053,Banana
0.923,-0.391,-1.117,-1.124,Grape
-1.159,0.458,-1.056,0.158,Banana
1.41,-1.019,-1.202,-1.314,Grape
1.505,-1.304,-0.103,0.14,Orange
-1.051,0.518,-1.477,0.601,Banana
0.559,-0.863,-0.26,-0.068,Orange
1.165,0.673,-0.641,-0.05,Apple
0.78,-1.563,-0.773,-1.363,Grape
1.163,1.487,-0.294,0.049,Apple
0.654,-0.444,-0.972,-0.503,Lemon
0.836,-1.067,-0.197,-0.651,Lemon
1.724,0.143,-0.901,-0.807,Grape
1.417,0.584,-0.759,0.14,Apple
-0.904,0.921,-0.996,-0.535,Banana
0.933,-1.264,0.021,0.148,Orange
1.202,-0.862,0.476,1.207,Watermelon
1.22,-0.564,0.441,-0.792,Orange
0.464,-1.26,-0.54,-0.495,Lemon
0.918,-0.64,-0.685,-0.564,Orange
0.642,-1.126,0.57,0.983,Watermelon
0.942,0.725,0.006,-0.321,Apple
0.972,-1.068,-0.608,-0.697,Lemon
0.598,-0.751,-0.744,-0.319,Lemon
-1.284,1.266,-1.203,0.598,Banana
1.021,-0.468,-0.704,-0.717,Orange
0.784,0.515,-0.784,-0.082,Apple
-1.001,0.832,-1.135,0.091,Banana
-0.422,0.743,-1.463,0.579,Banana
-1.076,1.714,-1.184,0.596,Banana
0.979,-1.182,-0.86,-0.241,Lemon
1.201,-1.094,-1.395,-1.888,Grape
0.808,-1.092,-0.657,-1.092,Lemon
0.616,-0.767,-1.235,-0.959,Grape
0.804,-0.206,-0.607,-0.11,Lemon
0.71,-1.586,0.877,0.441,Watermelon
0.605,-1.273,-1.284,0.108,Lemon
0.812,-1.573,1.314,0.745,Watermelon
1.382,-1.257,-0.489,-0.079,Orange
1.208,1.269,-0.331,-0.115,Apple
1.261,-0.93,-0.35,-0.706,Orange
1.21,-0.985,0.855,1.447,Watermelon
-1.5,1.575,-1.008,0.411,Banana
0.862,-1.183,-1.049,-0.883,Grape
-0.763,0.931,-1.767,-0.24,Banana
-0.282,0.618,-0.501,-0.027,Banana
0.536,-0.781,-0.887,0.057,Lemon
1.027,-0.839,0.906,1.231,Watermelon
1.153,-1.046,0.005,-0.714,Lemon
0.867,-0.829,-0.974,-0.425,Lemon
1.003,0.701,-0.175,-0.249,Apple
0.975,-1.024,0.968,0.871,Watermelon
1.049,-1.225,1.93,0.507,Watermelon
-1.205,0.823,-0.286,-0.162,Banana
1.149,1.087,-0.183,0.133,Apple
1.426,-1.158,1.068,0.348,Watermelon
1.035,-1.278,-0.365,-0.79,Orange
1.142,-1.594,1.052,0.571,Watermelon
0.703,1.404,-0.094,0.102,Apple
1.546,-1.27,1.525,0.487,Watermelon
1.261,-0.773,-1.326,-0.785,Grape
1.331,-0.68,1.075,1.046,Watermelon
-0.816,1.106,-0.811,0.371,Banana
-0.705,0.43,-1.046,-0.184,Banana
1.097,-0.025,-1.166,-0.955,Grape
1.265,-1.724,0.817,1.128,Watermelon
-0.014,-1.342,0.085,0.151,Orange
1.131,1.309,-0.225,-0.106,Apple
0.89,1.041,-0.521,0.142,Apple
1.533,-0.117,-1.143,-1.334,Grape
1.447,-0.41,-0.885,-1.222,Grape
1.149,-1.38,-0.078,0.283,Orange
1.571,-0.352,-1.484,-0.931,Grape
-0.251,0.696,-1.021,0.795,Banana
0.816,-0.132,-0.857,-0.846,Lemon
1.428,0.581,-0.369,-0.323,Apple
1.363,-0.385,-0.84,-1.141,Grape
1.025,0.409,-0.358,-0.465,Lemon
0.546,-0.823,-1.075,-1.187,Grape
0.594,-0.378,-0.163,-0.556,Lemon
0.577,1.468,-0.317,-0.904,Apple
1.249,-0.641,0.151,0.711,Watermelon
0.961,-0.743,-0.481,-0.491,Orange
-0.745,0.836,-0.81,-0.089,Banana
0.127,-0.736,-0.512,-0.177,Lemon
-1.186,0.722,-0.524,-0.233,Banana
-0.562,1.462,-0.699,0.059,Banana
-1.286,0.926,-1.453,-0.037,Banana
1.226,1.227,-0.667,-0.063,Apple
1.159,1.528,-0.101,0.071,Apple
0.767,-0.657,-1.05,-0.543,Lemon
0.986,-1.085,-0.145,0.022,Orange
-0.863,0.938,-1.258,0.684,Banana
1.122,-1.357,0.932,0.39,Watermelon
1.012,-1.069,0.799,1.555,Watermelon
0.595,-0.753,0.465,0.177,Orange
0.589,-1.397,-1.077,-0.644,Lemon
0.76,0.748,-0.414,-0.336,Apple
0.77,-1.433,-0.839,-0.556,Lemon
0.932,-0.357,1.081,0.435,Watermelon
1.146,-0.809,0.956,0.575,Watermelon
1.215,-1.374,-0.369,-0.43,Lemon
1.21,-0.403,1.197,0.804,Watermelon
1.387,-1.221,1.057,0.547,Watermelon
0.638,-0.982,-0.171,-0.796,Orange
0.774,-1.287,-0.152,-0.623,Lemon
0.607,-0.573,-1.321,-0.556,Grape
1.0,-1.053,1.207,0.648,Watermelon
0.149,-0.857,-0.985,-0.885,Lemon
0.893,-0.816,-1.039,-0.717,Lemon
0.684,0.022,-0.683,-1.147,Grape
0.802,-1.475,-0.835,-0.463,Lemon
-0.842,0.966,-0.913,0.327,Banana
0.543,-1.104,-0.749,-0.419,Lemon
-0.856,1.069,-1.413,-0.05,Banana
1.14,-0.085,-0.947,-1.144,Grape
1.079,0.602,0.158,-0.235,Apple
0.766,-0.658,-1.184,-0.541,Grape
0.929,1.054,-0.099,-0.559,Apple
1.068,1.096,-0.844,-0.212,Apple
0.984,1.045,-0.288,-0.209,Apple
1.468,-1.013,-1.12,-0.767,Grape
1.168,-0.439,-0.036,-0.785,Grape
1.396,-1.107,0.652,0.89,Watermelon
1.249,-0.458,-0.859,-1.075,Grape
0.869,0.937,-0.046,-0.006,Apple
-1.352,1.267,-1.228,0.464,Banana
0.933,1.548,-0.446,-0.237,Apple
0.812,-1.306,-0.625,-0.593,Lemon
0.42,-1.154,-0.211,-0.709,Lemon
0.798,-0.89,-1.089,-0.318,Lemon
0.505,-0.78,-0.478,-0.197,Orange
0.547,-0.557,-0.676,-1.282,Grape
0.787,-0.841,-0.132,-1.052,Orange
1.705,-0.415,-0.756,-1.05,Grape
